"Publications Database Id","DOI","PMID","ISI ID","Title of Paper","Authors","Industrial Partner Is Co-author?","Publication State","Date Published","Diamond Proposal Number","Publication Type","Title of Journal","Journal Volume","Journal Pages","Title of Conference","Peer Reviewed","Magazine Title","Uses Synchrotron, EM or Offline lab Data?","Data From Diamond?","Beamlines","Additional Facilities If Data From Diamond","Facility If Data Not From Diamond","Subject Areas","Technical Areas","Keywords","Diamond Keywords","Discipline/Technical Tags","ISBN","Book Chapter","Added On"
"11325","10.2172/1573170",,"DLS:000005000011325","Structure of ionic liquids under nanoconfinement in energy applications","E. R. Meshot","false","Published (Approved)","10/2019","","Report",,,,,"false",,"true","true","I15-Extreme Conditions",,,"Materials, Chemistry, Energy","",,,"Energy Storage, Energy, Physical Chemistry, Chemistry, Materials Science, Scattering, Pair Distribution Function (PDF)",,,"19/11/2019"
"10068","10.1080/08940886.2018.1528434",,"DLS:000013000010068","WIRMS 2017","Gianfelice Cinque, Mark D. Frogley, Emma Cooper","false","Published (Approved)","11/2018","","Report","Synchrotron Radiation News","31","41 - 43",,"false",,"true","true","B22-Multimode InfraRed imaging And Microspectroscopy",,,"Technique Development","",,,"Physics, Technique Development - Physics",,,"27/11/2018"
"9265","10.1039/C8CC90123F",,"DLS:000000000009265","Highlights from the Faraday discussion on photoinduced processes in nucleic acids and proteins","Javier Segarra-Martí, Remya Ramakrishnan, Javier Vinals, Ashley Hughes","false","Published (Approved)","04/2018","","Report","Chemical Communications",,,"Faraday Meeting","false",,"false","false","",,,"Chemistry","",,,"Chemistry",,,"16/04/2018"
"3266","10.1107/S0907444913016107","23793144","DLS:000000000003266","Data collection and processing","Johan P. Turkenburg, Katherine Mcauley","false","Published (Approved)","07/2013","","Report","Acta Crystallographica Section D Biological Crystallography","69","1193 - 1194",,"false",,"false","false","",,,"Biology and Bio-materials, Information and Communication Technology","","Ccp4 Study Weekend 2012",,"Information & Communication Technologies, Structural biology, Data processing, Life Sciences & Biotech",,,"27/06/2013"
"3222","10.1080/10448632.2013.774908",,"DLS:000000000003222","NOBUGS 2012 - Fostering computing collaboration at large user facilities","Kevin Knowles, Tobias Richter","false","Published (Approved)","05/2013","","Report",,,,,"false",,"false","false","",,,"Information and Communication Technology","Data acquisition",,,"Data management / presentation, Information & Communication Technologies",,,"07/05/2013"
"308",,,"DLS:000007000000308","High-tech search for mineral-rich wheat grain","Andrew  Neal","false","Published (Approved)","02/2010","","Report",,,,,"false",,"true","true","I18-Microfocus Spectroscopy",,,"Food Science, Biology and Bio-materials","",,"Cereal Crops","Agriculture & Fisheries, Life Sciences & Biotech, Imaging, X-ray Fluorescence (XRF), Food Science",,,"19/03/2010"
