"Publications Database Id","DOI","PMID","ISI ID","Title of Paper","Authors","Industrial Partner Is Co-author?","Publication State","Date Published","Diamond Proposal Number","Publication Type","Title of Journal","Journal Volume","Journal Pages","Title of Conference","Peer Reviewed","Magazine Title","Uses Synchrotron, EM or Offline lab Data?","Data From Diamond?","Beamlines","Additional Facilities If Data From Diamond","Facility If Data Not From Diamond","Subject Areas","Technical Areas","Keywords","Diamond Keywords","Discipline/Technical Tags","ISBN","Book Chapter","Added On"
"17860","10.5525/gla.thesis.84304",,"DLS:000009000017860","Physical and chemical alteration of material from C-Complex asteroids","Laura E. Jenkins","false","Published (Approved)","05/2024","29721, 31815, 34715","Thesis",,,,,"false",,"true","true","I11-High Resolution Powder Diffraction, I18-Microfocus Spectroscopy",,,"Earth Science, Chemistry","",,"Asteroids; Meteorites","Earth Sciences & Environment, Mineralogy, Geology, Diffraction, X-ray Powder Diffraction, Geochemistry, Planetary Geology, microXRD",,,"13/05/2024"
"17942","10.48683/1926.00116684",,"DLS:000002000017942","Oxidative damage of nucleic acids & its consequences: towards an understanding at an atomic level","M. C. Lambert","false","Published (Approved)","05/2024","","Thesis",,,,,"false",,"true","true","I03-Macromolecular Crystallography",,,"Biology and Bio-materials, Chemistry","",,,"Neurodegenerative Diseases, Non-Communicable Diseases, Health & Wellbeing, Biochemistry, Chemistry, Structural biology, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX)",,,"07/06/2024"
"17941",,,"DLS:000002000017941","Structural and spectroscopic characterisation of Cytochrome c’ and Cytochrome P460 from Methylococcus capsulatus","Hannah R. Adams","false","Published (Approved)","05/2024","","Thesis",,,,,"false",,"true","true","I03-Macromolecular Crystallography, I04-1-Macromolecular Crystallography (fixed wavelength), I24-Microfocus Macromolecular Crystallography",,,"Biology and Bio-materials, Chemistry","",,"Bacteria","Biochemistry, Chemistry, Structural biology, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX)",,,"07/06/2024"
"17765","10.17863/CAM.107561",,"DLS:000003000017765","The crystal structure of human Navβ3-Ig domain and its implications","Sivakumar Namadurai","false","Published (Approved)","04/2024","","Thesis",,,,,"false",,"true","true","I04-Macromolecular Crystallography",,,"Biology and Bio-materials, Chemistry","",,,"Biochemistry, Chemistry, Structural biology, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX)",,,"17/04/2024"
"17825",,,"DLS:00001C000017825","Spectroscopic investigation of electronic properties and collective excitations in layered materials","Andrea Tonelli","false","Published (Approved)","04/2024","","Thesis",,,,,"false",,"true","true","I05-ARPES","ANTARES at Soleil; T-REX, Fermi FEL, BACH, BaD-ElPh at  Elettra",,"Materials, Physics","",,,"Hard condensed matter - electronic properties, Physics, Materials Science, Spectroscopy, Angle Resolved Photoemission Spectroscopy (ARPES)",,,"01/05/2024"
"17793",,,"DLS:000000000017793","Understanding functionalised carbon catalysts for the oxygen reduction reaction","Kacper Polus","false","Published (Approved)","04/2024","","Thesis",,,,,"false",,"true","true","B07-C-Versatile Soft X-ray beamline: Ambient Pressure XPS and NEXAFS",,,"Chemistry, Materials, Energy","","Fe-N/C catalyst; doped carbon catalyst; Co-N/C catalyst; Near-Ambient Pressure X-ray Photoelectron Spectroscopy; ORR; electrocatalysis; oxygen reduction reaction; electrocatalyst; NAP-XPS; X-ray Photoelectron Spectroscopy",,"Energy Storage, Energy, Physical Chemistry, Catalysis, Chemistry, Materials Science, Spectroscopy, X-ray Absorption Spectroscopy (XAS), X-ray Photoelectron Spectroscopy (XPS), Near Edge X-ray Absorption Fine Structures (NEXAFS)",,,"25/04/2024"
"17311",,,"DLS:000009000017311","Disordered alkali-niobates for use as a sodium-ion battery anode material","Wai Chi Rachel Tang","false","Published (Approved)","03/2024","","Thesis",,,,,"false",,"true","true","E01-JEM ARM 200CF, E02-JEM ARM 300CF, I11-High Resolution Powder Diffraction, I15-1-X-ray Pair Distribution Function (XPDF), I15-Extreme Conditions",,,"Materials, Energy, Chemistry","",,"Batteries; Sodium-ion","Energy Storage, Energy, Physical Chemistry, Energy Materials, Chemistry, Materials Science, Nanoscience/Nanotechnology, Diffraction, Microscopy, Scattering, X-ray Powder Diffraction, Electron Microscopy (EM), Pair Distribution Function (PDF), Scanning Transmission Electron Microscopy (STEM)",,,"24/03/2024"
"17254",,,"DLS:00000F000017254","Photophysical and electronic properties of heterogeneous, coupled systems containing organic semiconductors","Christoph Pirmin Theurer","false","Published (Approved)","03/2024","","Thesis",,,,,"false",,"true","true","I07-Surface & interface diffraction",,,"Physics, Chemistry, Materials","",,"Semiconductors","Surfaces, Hard condensed matter - electronic properties, Physics, Electronics, Chemistry, Materials Science, interfaces and thin films, Organic Chemistry, Diffraction, Grazing Incidence X-ray Diffraction (GIXD)",,,"13/03/2024"
"17297",,,"DLS:000010000017297","Development and application of 3D X-ray diffraction for the study of phase transformations in metallic materials","James Ball","false","Published (Approved)","03/2024","26376","Thesis",,,,,"false",,"true","true","I12-JEEP: Joint Engineering, Environmental and Processing","ID11 at ESRF",,"Materials, Engineering","",,"Alloys","Materials Engineering & Processes, Materials Science, Engineering & Technology, Metallurgy, Diffraction",,,"21/03/2024"
"17686",,,"DLS:000002000017686","Structural basis of specific IgG deactivation by streptococcal immune evasion enzymes","Abigail S. L. Sudol","false","Published (Approved)","03/2024","","Thesis",,,,,"false",,"true","true","I03-Macromolecular Crystallography, I04-Macromolecular Crystallography","ID30A-3 at ESRF",,"Biology and Bio-materials","",,"Enzymes; Bacteria","Pathogens, Health & Wellbeing, Structural biology, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX)",,,"31/03/2024"
"17676",,,"DLS:000000000017676","Characterization of oxide-based catalysts and model catalysts for renewable fuels","Sabrina M. Gericke","false","Published (Approved)","03/2024","","Thesis",,,,,"false",,"true","true","B07-C-Versatile Soft X-ray beamline: Ambient Pressure XPS and NEXAFS","FlexPES, HIPPIE, Balder at MAX IV",,"Energy, Chemistry, Materials","","In2O3; NiMo-oxide; reduction; CO2 adsorption; model catalysis; photoelectron spectroscopy; oxide catalysts; CO2 hydrogenation",,"Earth Sciences & Environment, Sustainable Energy Systems, Energy, Climate Change, Physical Chemistry, Catalysis, Chemistry, Materials Science, Nanoscience/Nanotechnology, Spectroscopy, X-ray Photoelectron Spectroscopy (XPS)",,,"28/03/2024"
"17700",,,"DLS:000011000017700","Synthesis of Orexin A and B fragments involved in oxidative stress. Conformational and biological activity studies","Nicolo Abis","false","Published (Approved)","03/2024","","Thesis",,,,,"false",,"true","true","B23-Circular Dichroism",,,"Biology and Bio-materials, Chemistry","",,,"Health & Wellbeing, Biochemistry, Neurology, Chemistry, Life Sciences & Biotech, Spectroscopy, Circular Dichroism (CD)",,,"03/04/2024"
"17687",,,"DLS:000011000017687","Design of novel polyoxometalate-peptide hybrid conjugates","Haihong Yu","false","Published (Approved)","03/2024","","Thesis",,,,,"false",,"true","true","B23-Circular Dichroism",,,"Biology and Bio-materials, Chemistry, Medicine","",,"Alzheimer's Disease","Neurodegenerative Diseases, Non-Communicable Diseases, Health & Wellbeing, Cancer, Biochemistry, Neurology, Chemistry, Drug Discovery, Life Sciences & Biotech, Spectroscopy, Circular Dichroism (CD)",,,"31/03/2024"
"17100",,,"DLS:00003E000017100","Synthesis and characterization of sulfur-based glasses and glass-ceramics for the solid-state electrolyte applications","Jiajie  Zhang","false","Published (Approved)","02/2024","","Thesis",,,,,"false",,"true","true","I15-1-X-ray Pair Distribution Function (XPDF)",,,"Materials, Chemistry, Energy","",,"Batteries; Sodium-ion; Solid-State Batteries (SSB)","Energy Storage, Energy, Ceramics, Physical Chemistry, Energy Materials, Chemistry, Materials Science, Scattering, Pair Distribution Function (PDF)",,,"14/02/2024"
"17181","10.17863/CAM.106345",,"DLS:000009000017181","Improving oxidation resistance in polycrystalline Ni-based superalloys for high-temperature applications","Jackson Wen Xuan Wo","false","Published (Approved)","02/2024","","Thesis",,,,,"false",,"true","true","I11-High Resolution Powder Diffraction",,,"Materials, Engineering","",,"Alloys","Materials Engineering & Processes, Aerospace, Materials Science, Engineering & Technology, Metallurgy, Diffraction, Grazing Incidence X-ray Diffraction (GIXD)",,,"28/02/2024"
"17175","10.17863/CAM.106221",,"DLS:000005000017175","Emergent critical phases in strongly correlated low-dimensional magnetic systems","Shiyu Deng","false","Published (Approved)","02/2024","31718, 31687, 32180","Thesis",,,,,"false",,"true","true","I15-Extreme Conditions, I19-Small Molecule Single Crystal Diffraction","Institut Laue-Langevin",,"Materials, Physics","",,,"Superconductors, Quantum Materials, Hard condensed matter - electronic properties, Physics, Magnetism, Materials Science, Diffraction, Single Crystal X-ray Diffraction (SXRD), X-ray Powder Diffraction",,,"28/02/2024"
"17142",,,"DLS:000016000017142","Advanced magnetic metamaterials for radio, microwave and millimetre-wave applications","Katie A. Lewis","false","Published (Approved)","02/2024","","Thesis",,,,,"false",,"true","true","I10-Beamline for Advanced Dichroism - scattering",,,"Materials, Physics","",,,"Surfaces, Physics, Magnetism, Materials Science, interfaces and thin films, Nanoscience/Nanotechnology, Spectroscopy, Circular Dichroism (CD), X-ray Magnetic Circular Dichroism (XMCD)",,,"21/02/2024"
"17267",,,"DLS:00000C000017267","Structural studies of an abasic site DNA damage repair and DNA interstrand cross-link formation","Barbora Landová","false","Published (Approved)","02/2024","","Thesis",,,,,"false",,"true","true","I04-1-Macromolecular Crystallography (fixed wavelength)","BessyII",,"Biology and Bio-materials","",,,"Genetics, Structural biology, Life Sciences & Biotech, Diffraction, Macromolecular Crystallography (MX)",,,"13/03/2024"
"17268","10.6035/14104.2024.429160",,"DLS:000014000017268","(Photo)electrochemical approaches for renewable energy storage into high-added value chemicals","Roser Fernandez-Climent","false","Published (Approved)","02/2024","","Thesis",,,,,"false",,"true","true","B18-Core EXAFS",,,"Energy, Chemistry, Materials","",,,"Earth Sciences & Environment, Sustainable Energy Systems, Energy, Climate Change, Physical Chemistry, Catalysis, Chemistry, Materials Science, Perovskites, Metallurgy, Spectroscopy, X-ray Absorption Spectroscopy (XAS), X-ray Absorption Near Edge Structure (XANES)",,,"14/03/2024"
